Avatar;-90.8798478209278;-4.6990790989247895
Pirates of the Caribbean: At World's End ;-85.63413013311808;-4.678606577617977
Spectre ;-80.62917992169464;-3.4279131934897635
The Dark Knight Rises;-82.58406528261352;-4.640823268678906
Star Wars: Episode VII - The Force Awakens             ;-62.589377735813805;-0.11956328187879678
John Carter ;-85.21295714300271;-4.683511153999796
Spider-Man 3 ;-82.68846550650052;-4.716406250366584
Tangled ;-105.55347481783166;-4.66566731234486
Avengers: Age of Ultron ;-80.47799726981117;-4.672424033209099
Harry Potter and the Half-Blood Prince ;-83.7487716728043;-3.1649652828624943
Batman v Superman: Dawn of Justice ;-88.7720469099132;-4.675637224109496
Superman Returns ;-88.15510295040887;-4.677551621178707
Quantum of Solace ;-84.11081309738411;-3.331816902503849
Pirates of the Caribbean: Dead Man's Chest ;-82.79631252036572;-4.680833469403803
The Lone Ranger ;-78.27490077368294;-4.648242990674592
Man of Steel ;-91.55950867620399;-4.722498609632024
The Chronicles of Narnia: Prince Caspian ;-89.69920541441108;-4.527515806256474
The Avengers ;-77.30445555341942;-4.6610195850120775
Pirates of the Caribbean: On Stranger Tides ;-78.56867447992595;-4.6914848737922545
Men in Black 3 ;-90.54497499136113;-4.902208857407431
The Hobbit: The Battle of the Five Armies ;-88.8300395229812;-3.1838503930281092
The Amazing Spider-Man ;-84.51333070519595;-4.6779294853546975
Robin Hood ;-91.35971902720746;-4.855588889758717
The Hobbit: The Desolation of Smaug ;-84.29805728542416;-4.572765734988141
The Golden Compass ;-77.12660810705613;-4.640928750907789
King Kong ;-89.65080602262195;-3.5141567356429393
Titanic ;-77.11342215893967;-4.757847013996737
Captain America: Civil War ;-82.80590017078951;-4.65229481817959
Battleship ;-86.21135983659575;-4.775139349709586
Jurassic World ;-92.76410834468186;-4.779206988824175
Skyfall ;-91.94399244112938;-3.4072393087446335
Spider-Man 2 ;-76.69909676088152;-4.769655701242406
Iron Man 3 ;-84.53676397876323;-4.682514329683378
Alice in Wonderland ;-84.08732226524234;-4.445987523014301
X-Men: The Last Stand ;-95.34153776747797;-3.4448033155616984
Monsters University ;-93.20280474146792;-4.469676532870318
Transformers: Revenge of the Fallen ;-87.29693523952153;-4.667219877297553
Transformers: Age of Extinction ;-87.9207842516909;-4.665438428073985
Oz the Great and Powerful ;-81.24699996148377;-4.4448248817488505
The Amazing Spider-Man 2 ;-91.75669359926204;-4.72883487060818
TRON: Legacy ;-79.98420346030768;-4.488363527144964
Cars 2 ;-91.88517792815234;-4.439159276842379
Green Lantern ;-89.63315869166439;-4.6636298522233615
Toy Story 3 ;-94.78443089611777;-4.442188369511119
Terminator Salvation ;-79.87899623387855;-4.68541204455189
Furious 7 ;-76.37231071916197;-4.744381238788212
World War Z ;-89.49182391814934;-4.821536096302626
X-Men: Days of Future Past ;-86.67196098390502;-4.803971901321863
Star Trek Into Darkness ;-85.46219608265012;-4.66301458060095
Jack the Giant Slayer ;-79.99045491223445;-4.595326637746407
The Great Gatsby ;-84.42436354528235;-3.3694873250873654
Prince of Persia: The Sands of Time ;-87.91737233013895;-4.762216903005745
Pacific Rim ;-85.69281487299219;-4.678287352730058
Transformers: Dark of the Moon ;-87.0912607263742;-4.676406401401064
Indiana Jones and the Kingdom of the Crystal Skull ;-85.66028743537173;-4.681790735853928
The Good Dinosaur ;-99.00599986891498;-4.592636365645197
Brave ;-93.4925153176215;-4.597601934257612
Star Trek Beyond ;-94.46528993810028;-4.7699834576827715
WALL·E ;-95.23725998432423;-4.298977173803305
Rush Hour 3 ;-85.74732950157383;-4.870770244025509
2012 ;-83.86330041655172;-4.668155398398666
A Christmas Carol ;-84.20382141029147;-4.5936498719565435
Jupiter Ascending ;-82.93456784199161;-4.664680389470623
The Legend of Tarzan ;-84.81400078505182;-4.914600385673101
The Chronicles of Narnia: The Lion, the Witch and the Wardrobe ;-86.9112997680269;-4.4404285353233375
X-Men: Apocalypse ;-84.14736390970154;-4.679296791037641
The Dark Knight ;-84.82111656039726;-4.8992214728786125
Up ;-92.1510948477771;-4.522965685877554
Monsters vs. Aliens ;-96.15714601549374;-4.681253664833328
Iron Man ;-82.147023198223;-4.6585775316972295
Hugo ;-87.5969174028394;-4.625662927980853
Wild Wild West ;-88.85502038982463;-4.731917323877394
The Mummy: Tomb of the Dragon Emperor ;-89.26641111428938;-4.798295122023473
Suicide Squad ;-85.85166886989059;-4.815472222399559
Evan Almighty ;-86.77722078783115;-4.499049680513234
Edge of Tomorrow ;-85.21749675617478;-4.659196186201835
Waterworld ;-90.80938050322392;-4.77908432985459
G.I. Joe: The Rise of Cobra ;-88.56281997979976;-4.769462039980156
Inside Out ;-101.13745184588888;-4.762078855146502
The Jungle Book ;-83.80818120407126;-3.313856643648509
Iron Man 2 ;-81.27774643111701;-4.684133818841647
Snow White and the Huntsman ;-86.24602505438884;-4.874525588161455
Maleficent ;-90.63799536673132;-4.603545787014433
Dawn of the Planet of the Apes ;-82.91811864989361;-4.865251612658847
The Lovers ;-101.09326438988626;-3.522533526758043
47 Ronin ;-88.36826913530342;-4.873926476901173
Captain America: The Winter Soldier ;-87.66284414843786;-4.6626295613187345
Shrek Forever After ;-99.63395194217544;-4.593675920712801
Tomorrowland ;-92.84533058370545;-4.560309149592484
Big Hero 6 ;-98.86022864466649;-4.853865147138726
Wreck-It Ralph ;-98.05284896092628;-4.579182075996052
The Polar Express ;-86.6524348860281;-4.34107193673669
Independence Day: Resurgence ;-83.88909720388375;-4.664537299989509
How to Train Your Dragon ;-86.88877395568205;-4.431833836013222
Terminator 3: Rise of the Machines ;-85.36120504558222;-4.814367143225411
Guardians of the Galaxy ;-83.39519900271144;-4.655698846556788
Interstellar ;-87.13342276326871;-4.759694496088605
Inception ;-87.0476927468369;-4.747723766335129
Godzilla Resurgence ;-95.29269755339793;-0.5122790969062524
